# units: time(s); switchId; energy(watt)
2000;10;36.8762
2000;9;36.8762
2000;8;36.8762
2000;7;36.8762
2000;6;36.8762
2010;12;37.0615
2010;11;37.0615
2010;10;37.0615
2010;9;37.0615
2010;8;37.0615
2010;7;37.0615
2010;6;37.0615
2020;12;37.2468
2020;11;37.2468
2020;10;37.2468
2020;9;37.2468
2020;8;37.2468
2020;7;37.2468
2020;6;37.2468
2030;12;37.4321
2030;11;37.4321
2030;10;37.4321
2030;9;37.4321
2030;8;37.4321
2030;7;37.4321
2030;6;37.4321
2040;12;37.6173
2040;11;37.6173
2040;10;37.6173
2040;9;37.6173
2040;8;37.6173
2040;7;37.6173
2040;6;37.6173
2050;12;37.8026
2050;11;37.8026
2050;10;37.8026
2050;9;37.8026
2050;8;37.8026
2050;7;37.8026
2050;6;37.8026
2060;12;37.9879
2060;11;37.9879
2060;10;37.9879
2060;9;37.9879
2060;8;37.9879
2060;7;37.9879
2060;6;37.9879
2070;12;38.1732
2070;11;38.1732
2070;10;38.1732
2070;9;38.1732
2070;8;38.1732
2070;7;38.1732
2070;6;38.1732
2080;12;38.3584
2080;11;38.3584
2080;10;38.3584
2080;9;38.3584
2080;8;38.3584
2080;7;38.3584
2080;6;38.3584
